"","V","I"
"597",30.167,9.167
"598",30.182,9.165
"599",30.196,9.162
"600",30.199,9.161
"601",30.221,9.167
"602",30.234,9.162
"603",30.234,9.16
"604",30.263,9.167
"605",30.265,9.161
"606",30.286,9.159
"607",30.3,9.165
"608",30.302,9.159
"609",30.314,9.158
"610",30.32,9.161
"611",30.34,9.161
"612",30.352,9.158
"613",30.349,9.157
"614",30.373,9.164
"615",30.38,9.158
"616",30.377,9.156
"617",30.408,9.164
"618",30.403,9.156
"619",30.416,9.155
"620",30.423,9.161
"621",30.429,9.157
"622",30.447,9.155
"623",30.453,9.154
"624",30.471,9.159
"625",30.483,9.155
"626",30.485,9.153
"627",30.51,9.159
"628",30.517,9.153
"629",30.518,9.152
"630",30.543,9.158
"631",30.542,9.151
"632",30.554,9.151
"633",30.56,9.154
"634",30.576,9.154
"635",30.59,9.151
"636",30.595,9.15
"637",30.615,9.156
"638",30.626,9.151
"639",30.63,9.149
"640",30.658,9.156
"641",30.665,9.149
"642",30.676,9.148
"643",30.697,9.154
"644",30.707,9.149
"645",30.727,9.147
"646",30.742,9.148
"647",30.767,9.152
"648",30.782,9.147
"649",30.79,9.145
"650",30.818,9.152
"651",30.837,9.147
"652",30.848,9.144
"653",30.87,9.151
"654",30.882,9.145
"655",30.898,9.144
"656",30.915,9.147
"657",30.933,9.146
"658",30.95,9.144
"659",30.961,9.142
"660",30.99,9.148
"661",30.997,9.143
"662",31.005,9.143
"663",31.036,9.149
"664",31.044,9.142
"665",31.055,9.141
"666",31.067,9.148
"667",31.085,9.142
"668",31.103,9.14
"669",31.112,9.142
"670",31.136,9.146
"671",31.157,9.141
"672",31.162,9.139
"673",31.192,9.146
"674",31.2,9.14
"675",31.216,9.138
"676",31.238,9.145
"677",31.246,9.138
"678",31.265,9.138
"679",31.278,9.142
"680",31.3,9.14
"681",31.322,9.137
"682",31.333,9.136
"683",31.365,9.142
"684",31.373,9.137
"685",31.38,9.135
"686",31.413,9.141
"687",31.414,9.135
"688",31.427,9.134
"689",31.447,9.14
"690",31.451,9.134
"691",31.47,9.134
"692",31.479,9.136
"693",31.495,9.137
"694",31.513,9.132
"695",31.509,9.132
"696",31.537,9.139
"697",31.539,9.133
"698",31.536,9.13
"699",31.557,9.138
"700",31.56,9.131
"701",31.569,9.131
"702",31.57,9.136
"703",31.579,9.133
"704",31.598,9.13
"705",31.599,9.129
"706",31.607,9.135
"707",31.615,9.131
"708",31.607,9.129
"709",31.636,9.134
"710",31.629,9.13
"711",31.628,9.128
"712",31.646,9.135
"713",31.646,9.128
"714",31.651,9.128
"715",31.657,9.131
"716",31.661,9.131
"717",31.668,9.127
"718",31.667,9.126
"719",31.676,9.134
"720",31.681,9.128
"721",31.671,9.126
"722",31.691,9.133
"723",31.687,9.126
"724",31.688,9.125
"725",31.688,9.131
"726",31.695,9.126
"727",31.696,9.125
"728",31.696,9.125
"729",31.704,9.129
"730",31.707,9.125
"731",31.702,9.123
"732",31.717,9.13
"733",31.72,9.124
"734",31.712,9.122
"735",31.726,9.128
"736",31.721,9.123
"737",31.728,9.122
"738",31.727,9.125
"739",31.731,9.124
"740",31.733,9.121
"741",31.738,9.121
"742",31.748,9.127
"743",31.743,9.121
"744",31.743,9.12
"745",31.757,9.127
"746",31.752,9.12
"747",31.748,9.119
"748",31.752,9.126
"749",31.755,9.12
"750",31.762,9.119
"751",31.752,9.12
"752",31.764,9.124
"753",31.765,9.119
"754",31.757,9.118
"755",31.772,9.125
"756",31.765,9.12
"757",31.762,9.117
"758",31.774,9.123
"759",31.767,9.117
"760",31.766,9.117
"761",31.765,9.121
"762",31.77,9.118
"763",31.775,9.116
"764",31.768,9.115
"765",31.779,9.121
"766",31.775,9.116
"767",31.769,9.115
"768",31.79,9.121
"769",31.778,9.115
"770",31.778,9.114
"771",31.785,9.121
"772",31.782,9.114
"773",31.79,9.113
"774",31.781,9.115
"775",31.784,9.117
"776",31.788,9.113
"777",31.78,9.111
"778",31.797,9.118
"779",31.791,9.113
"780",31.779,9.111
"781",31.801,9.117
"782",31.792,9.111
"783",31.792,9.11
"784",31.791,9.115
"785",31.793,9.112
"786",31.805,9.11
"787",31.795,9.109
"788",31.802,9.114
"789",31.806,9.11
"790",31.8,9.108
"791",31.818,9.115
"792",31.811,9.108
"793",31.805,9.107
"794",31.818,9.115
"795",31.814,9.108
"796",31.816,9.107
"797",31.815,9.111
"798",31.816,9.11
"799",31.825,9.107
"800",31.815,9.106
"801",31.828,9.113
"802",31.828,9.108
"803",31.819,9.105
"804",31.832,9.112
"805",31.827,9.107
"806",31.826,9.105
"807",31.831,9.11
"808",31.833,9.106
"809",31.834,9.105
"810",31.835,9.105
"811",31.835,9.108
"812",31.84,9.104
"813",31.831,9.103
"814",31.846,9.109
"815",31.835,9.103
"816",31.831,9.101
"817",31.84,9.109
"818",31.84,9.102
"819",31.841,9.101
"820",31.836,9.105
"821",31.844,9.104
"822",31.845,9.1
"823",31.842,9.099
"824",31.848,9.106
"825",31.844,9.101
"826",31.838,9.099
"827",31.857,9.106
"828",31.841,9.1
"829",31.841,9.099
"830",31.848,9.104
"831",31.856,9.1
"832",31.86,9.098
"833",31.848,9.099
"834",31.86,9.102
"835",31.863,9.098
"836",31.86,9.097
"837",31.871,9.103
"838",31.864,9.098
"839",31.862,9.096
"840",31.876,9.103
"841",31.869,9.096
"842",31.875,9.096
"843",31.873,9.1
"844",31.877,9.097
"845",31.883,9.095
"846",31.874,9.095
"847",31.887,9.101
"848",31.884,9.095
"849",31.875,9.094
"850",31.894,9.101
"851",31.881,9.094
"852",31.876,9.093
"853",31.886,9.099
"854",31.883,9.094
"855",31.884,9.093
"856",31.877,9.094
"857",31.881,9.097
"858",31.886,9.093
"859",31.878,9.091
"860",31.895,9.097
"861",31.888,9.093
"862",31.88,9.091
"863",31.897,9.098
"864",31.886,9.091
"865",31.894,9.09
"866",31.895,9.094
"867",31.899,9.091
"868",31.907,9.089
"869",31.898,9.089
"870",31.906,9.094
"871",31.918,9.088
"872",31.91,9.087
"873",31.923,9.095
"874",31.914,9.088
"875",31.91,9.087
"876",31.926,9.094
"877",31.92,9.087
"878",31.919,9.086
"879",31.916,9.089
"880",31.919,9.09
"881",31.921,9.087
"882",31.913,9.085
"883",31.925,9.092
"884",31.922,9.087
"885",31.916,9.085
"886",31.927,9.092
"887",31.921,9.086
"888",31.918,9.084
"889",31.926,9.089
"890",31.923,9.085
"891",31.925,9.084
"892",31.917,9.085
"893",31.926,9.088
"894",31.93,9.084
"895",31.925,9.083
"896",31.939,9.089
"897",31.934,9.083
"898",31.93,9.082
"899",31.939,9.089
"900",31.94,9.082
"901",31.935,9.081
"902",31.932,9.084
"903",31.935,9.084
"904",31.937,9.082
"905",31.93,9.08
"906",31.945,9.087
"907",31.939,9.081
"908",31.94,9.08
"909",31.952,9.086
"910",31.938,9.08
"911",31.94,9.079
"912",31.943,9.084
"913",31.944,9.08
"914",31.942,9.078
"915",31.937,9.079
"916",31.945,9.083
"917",31.953,9.078
"918",31.943,9.077
"919",31.958,9.083
"920",31.948,9.077
"921",31.947,9.077
"922",31.955,9.082
"923",31.948,9.076
"924",31.956,9.076
"925",31.949,9.08
"926",31.958,9.078
"927",31.96,9.076
"928",31.954,9.075
"929",31.969,9.081
"930",31.971,9.076
"931",31.957,9.075
"932",31.974,9.082
"933",31.962,9.075
"934",31.964,9.074
"935",31.971,9.08
"936",31.967,9.075
"937",31.977,9.074
"938",31.969,9.075
"939",31.976,9.078
"940",31.98,9.075
"941",31.976,9.072
"942",31.986,9.079
"943",31.98,9.073
"944",31.972,9.072
"945",31.988,9.079
"946",31.976,9.071
"947",31.979,9.071
"948",31.982,9.076
"949",31.982,9.073
"950",31.983,9.071
"951",31.975,9.07
"952",31.99,9.076
"953",31.992,9.071
"954",31.979,9.069
"955",31.993,9.077
"956",31.985,9.07
"957",31.986,9.069
"958",31.994,9.076
"959",31.992,9.07
"960",31.994,9.068
"961",31.993,9.071
"962",31.998,9.072
"963",32.006,9.069
"964",31.999,9.067
"965",32.011,9.074
"966",32.015,9.068
"967",32.004,9.067
"968",32.013,9.074
"969",32.005,9.067
"970",32.009,9.066
"971",32.007,9.072
"972",32.008,9.068
"973",32.01,9.067
"974",32.005,9.067
"975",32.016,9.071
"976",32.014,9.067
"977",32.009,9.065
"978",32.019,9.072
"979",32.013,9.065
"980",32.003,9.065
"981",32.019,9.072
"982",32.015,9.065
"983",32.015,9.064
"984",32.011,9.068
"985",32.02,9.069
"986",32.024,9.065
"987",32.017,9.063
"988",32.029,9.07
"989",32.024,9.065
"990",32.017,9.063
"991",32.024,9.07
"992",32.019,9.063
"993",32.017,9.063
"994",32.02,9.067
"995",32.019,9.064
"996",32.022,9.062
"997",32.015,9.062
"998",32.028,9.067
"999",32.027,9.062
"1000",32.018,9.061
"1001",32.035,9.067
"1002",32.023,9.061
"1003",32.022,9.06
"1004",32.031,9.067
"1005",32.026,9.06
"1006",32.031,9.059
"1007",32.031,9.063
"1008",32.029,9.063
"1009",32.034,9.059
"1010",32.028,9.058
"1011",32.045,9.065
"1012",32.043,9.059
"1013",32.029,9.058
"1014",32.048,9.066
"1015",32.04,9.058
"1016",32.042,9.057
"1017",32.041,9.064
"1018",32.042,9.059
"1019",32.043,9.058
"1020",32.04,9.058
"1021",32.045,9.062
"1022",32.05,9.058
"1023",32.04,9.055
"1024",32.057,9.062
"1025",32.05,9.057
"1026",32.042,9.056
"1027",32.059,9.062
"1028",32.047,9.055
"1029",32.049,9.055
"1030",32.049,9.059
"1031",32.053,9.057
"1032",32.053,9.055
"1033",32.052,9.055
"1034",32.063,9.06
"1035",32.066,9.055
"1036",32.053,9.053
"1037",32.067,9.061
"1038",32.059,9.054
"1039",32.055,9.052
"1040",32.055,9.059
"1041",32.053,9.053
"1042",32.058,9.052
"1043",32.05,9.055
"1044",32.057,9.056
"1045",32.061,9.053
"1046",32.054,9.05
"1047",32.068,9.057
"1048",32.062,9.052
"1049",32.052,9.05
"1050",32.066,9.056
"1051",32.057,9.05
"1052",32.057,9.049
"1053",32.059,9.054
"1054",32.061,9.051
"1055",32.068,9.05
"1056",32.07,9.049
"1057",32.08,9.054
"1058",32.079,9.049
"1059",32.076,9.048
"1060",32.093,9.054
"1061",32.087,9.048
"1062",32.08,9.048
"1063",32.085,9.054
"1064",32.084,9.047
"1065",32.089,9.046
"1066",32.078,9.051
"1067",32.085,9.051
"1068",32.091,9.047
"1069",32.083,9.046
"1070",32.094,9.053
"1071",32.092,9.047
"1072",32.083,9.046
"1073",32.096,9.052
"1074",32.085,9.046
"1075",32.088,9.045
"1076",32.088,9.049
"1077",32.086,9.047
"1078",32.089,9.045
